Filename,BreedingByGonads,country,stateprovince,decimallatitude,decimallongitude
18275,0,USA,New Mexico,35.1667099,-106.5505791
18276,0,USA,New Mexico,35.2170146,-103.3319092
18278,0,USA,New Mexico,36.0318871,-107.9049683
18745,0,USA,New Mexico,36.824585,-106.5674915
19811,0,USA,New Mexico,36.9317812,-106.9999695
21020,0,USA,Texas,30.153342,-103.234833
21268,0,USA,New Mexico,32.3712082,-106.0844345
21660,0,USA,New Mexico,33.8000641,-106.8672485
22173,0,USA,New Mexico,35.3120435,-106.4255905
22174,0,USA,New Mexico,32.4206715,-104.2288399
23137,0,USA,New Mexico,34.1656598,-106.0253796
23168,0,USA,New Mexico,34.5204029,-106.3308441
23170,0,USA,New Mexico,36.74081,-108.1880379
23256,0,USA,New Mexico,32.8423309,-104.4032974
23272,0,USA,New Mexico,32.5951138,-104.3471794
23739,0,USA,New Mexico,36.7388841,-108.2510376
23829,0,USA,New Mexico,35.5225354,-105.9801786
24309,0,USA,New Mexico,36.7504387,-108.1871796
24379,0,USA,New Mexico,35.0844898,-106.6511345
24809,0,USA,Alaska,64.857,-147.8043
26447,0,USA,New Mexico,35.2999959,-106.7706299
28702,1,USA,New Mexico,35.2053671,-106.6065639
29148,0,USA,Texas,27.237948,-97.804256
29185,0,USA,Oregon,45.484251,-118.832645
29186,0,USA,Oregon,44.050689,-121.305725
36185,0,USA,Louisiana,30.582535,-90.224103
42773,0,USA,Wyoming,41.1596584,-104.0674781
42797,0,USA,Wyoming,44.765416,-106.910752
44278,0,USA,California,37.91008333,-122.0651833
44504,0,USA,Wyoming,41.361988,-106.561354
47604,0,USA,Wyoming,41.31139,-105.59056
48018,1,USA,Florida,25.393306,-80.582974
48729,1,USA,Florida,27.915376,-82.763981
49752,0,USA,Colorado,39.251294,-108.775649
51865,0,USA,Arizona,33.738451,-112.554897
51876,0,USA,Arizona,33.429922,-112.025497
51968,0,USA,Arizona,33.614359,-112.281955
52840,0,USA,Arizona,32.723409,-110.645868
53335,0,USA,Connecticut,41.935734,-72.686014
53496,0,USA,California,32.730876,-117.146463
68932,0,USA,California,41.954644,-121.4734414
74120,1,USA,Oregon,43.2320592,-118.8452131
80318,0,USA,Alaska,60.5069912,-151.1087036
86276,1,USA,Washington,47.504196,-117.691136
86666,0,USA,North Carolina,35.3022614,-77.1593613
87158,1,USA,Washington,48.0450376,-120.4032898
95955,0,USA,Mississippi,33.48077,-90.38347
100443,0,USA,Nevada,36.475709,-115.473909
115875,0,USA,California,34.626074,-120.074636
119702,1,USA,Montana,47.009782,-114.632531
159674,0,Canada,Ontario,45.231144,-81.6804
159789,0,Canada,Ontario,42.99385,-81.23864
179094,0,USA,Nevada,40.59,-116.17
179928,0,USA,California,38.3684,-122.5135
184100,0,USA,California,37.92382,-122.09192
186079,0,USA,California,40.360149,-122.325908
187569,0,USA,Montana,46.45,-108.55
203165,1,USA,New Jersey,38.948554,-74.907686
205135,1,USA,Minnesota,48.843288,-95.763795
205182,1,USA,Texas,33.203025,-96.653183
236217,0,USA,California,38.0267292,-119.1558266
245737,0,USA,Nevada,39.026808,-119.164654
438294,0,USA,Wisconsin,45.6354517,-91.7675114
475289,0,USA,Illinois,41.594146,-87.924667
AF14328,0,USA,Alaska,55.46666667,-133.15
ENO297,1,USA,Kansas,38.848,-95.445
ENO298,1,USA,Kansas,38.890091,-94.683682
ENO299,0,USA,Kansas,38.612023,-95.004102
ENO303,1,USA,Kansas,37.129,-101.878
ENO304,1,USA,Kansas,37.129,-101.878
ENO305,0,USA,Kansas,38.963541,-94.805617
ENO306,0,USA,Kansas,38.9297,-94.8653
ENO308,0,USA,Kansas,38.405,-98.425
ENO309,0,USA,Kansas,37.668228,-97.494113
ENO310,0,USA,Kansas,37.668228,-97.494113
ENO311,0,USA,Kansas,37.668228,-97.494113
ENO314,1,USA,Kansas,38.685,-100.939
ENO318,1,USA,Illinois,40.543595,-88.564097
ENO319,0,USA,Illinois,40.264662,-88.976982
ENO320,0,USA,Illinois,40.43705,-89.019258
ENO323,1,USA,Illinois,40.609952,-89.115266
ENO324,0,USA,Colorado,38.32257,-104.75231
ENO326,0,USA,Colorado,40.74316,-104.01159
ENO328,0,USA,Colorado,40.10219,-104.67833
ENO331,1,USA,Colorado,39.72182,-104.35997
ENO332,1,USA,Colorado,40.2909,-104.19361
JJW3614,0,USA,Alaska,56.75749,-132.877587
JJW5053,1,USA,Alaska,58.754071,-156.507519
JJW5064,1,USA,Alaska,60.531464,-145.610535
KU18,1,USA,North Dakota,48.601996,-102.439834
LHD1893,0,USA,Kansas,37.144,-101.824
LHD2031,1,USA,Kansas,37.129,-101.878
NB12482,0,Canada,New Brunswick,46.08,-64.69
NB13222,0,Canada,New Brunswick,45.1156,-66.9359
NB13339,0,Canada,New Brunswick,46.6811,-64.869
NB13382,0,Canada,New Brunswick,45.533,-65.833
NB13819,0,Canada,New Brunswick,46.068972,-67.549776
OCGR12152,0,USA,Oklahoma,36.907757,-102.515745
OCGR8815,0,USA,Oklahoma,35.189053,-97.343899
UAMX2376,0,USA,Alaska,64.857,-147.8043
UAMX2389,0,USA,Alaska,64.528344,-146.91404
UAMX2517,0,USA,Alaska,58.3449,-134.555
UAMX3024,0,USA,Alaska,63.326692,-143.014541
UAMX5705,1,USA,Alaska,61.1742,-149.9044
UAMX5840,0,USA,Alaska,64.752695,-147.256879
UAMX5847,1,USA,Alaska,59.2295,-135.4454
UAMX6008,0,USA,Alaska,59.712413,-151.475841
UAMX6122,1,USA,Alaska,61.573295,-149.737794
UAMX6198,0,USA,Alaska,56.75749,-132.877587
UAMX6204,0,USA,Alaska,59.659462,-151.656403
UAMX6453,0,USA,Alaska,60.793248,-161.782293
UAMX6949,0,USA,Alaska,60.789932,-161.783141
UAMX7447,0,USA,Alaska,62.2777,-150.2479
UAMX7477,1,USA,Alaska,64.802063,-147.828642