FileName,BreedingByGonads,decimallatitude,decimallongitude
UAMX2376,0,64.857,-147.8043
UAMX2389,0,64.528344,-146.91404
UAMX2517,0,58.3449,-134.555
UAMX3024,0,63.326692,-143.014541
UAMX5840,0,64.752695,-147.256879
UAMX5847,1,59.2295,-135.4454
UAMX6453,0,60.793248,-161.782293
AF14328,0,55.46666667,-133.15
UAMX5705,1,61.1742,-149.9044
UAMX6122,1,61.573295,-149.737794
UAMX6949,0,60.789932,-161.783141
24809,0,64.857,-147.8043
UAMX7477,1,64.802063,-147.828642
JJW5053,1,58.754071,-156.507519
UAMX6198,0,56.75749,-132.877587
JJW5064,1,60.531464,-145.610535
UAMX7447,0,62.2777,-150.2479
JJW3614,0,56.75749,-132.877587
UAMX6204,0,59.659462,-151.656403
UAMX6008,0,59.712413,-151.475841
80318,0,60.5069912,-151.1087036
51968,0,33.614359,-112.281955
51865,0,33.738451,-112.554897
51876,0,33.429922,-112.025497
52840,0,32.723409,-110.645868
115875,0,34.626074,-120.074636
44278,0,37.91008333,-122.0651833
179928,0,38.3684,-122.5135
186079,0,40.360149,-122.325908
184100,0,37.92382,-122.09192
53496,0,32.730876,-117.146463
236217,0,38.0267292,-119.1558266
68932,0,41.954644,-121.4734414
49752,0,39.251294,-108.775649
ENO328,0,40.10219,-104.67833
ENO331,1,39.72182,-104.35997
ENO332,1,40.2909,-104.19361
ENO326,0,40.74316,-104.01159
ENO324,0,38.32257,-104.75231
53335,0,41.935734,-72.686014
48018,1,25.393306,-80.582974
48729,1,27.915376,-82.763981
475289,0,41.594146,-87.924667
ENO318,1,40.543595,-88.564097
ENO323,1,40.609952,-89.115266
ENO319,0,40.264662,-88.976982
ENO320,0,40.43705,-89.019258
ENO311,0,37.668228,-97.494113
ENO299,0,38.612023,-95.004102
ENO309,0,37.668228,-97.494113
ENO297,1,38.848,-95.445
ENO298,1,38.890091,-94.683682
ENO305,0,38.963541,-94.805617
ENO314,1,38.685,-100.939
ENO303,1,37.129,-101.878
ENO304,1,37.129,-101.878
LHD1893,0,37.144,-101.824
ENO306,0,38.9297,-94.8653
ENO308,0,38.405,-98.425
ENO310,0,37.668228,-97.494113
LHD2031,1,37.129,-101.878
36185,0,30.582535,-90.224103
205135,1,48.843288,-95.763795
95955,0,33.48077,-90.38347
187569,0,46.45,-108.55
119702,1,47.009782,-114.632531
179094,0,40.59,-116.17
245737,0,39.026808,-119.164654
100443,0,36.475709,-115.473909
NB12482,0,46.08,-64.69
NB13222,0,45.1156,-66.9359
NB13382,0,45.533,-65.833
NB13339,0,46.6811,-64.869
NB13819,0,46.068972,-67.549776
203165,1,38.948554,-74.907686
18275,0,35.1667099,-106.5505791
18745,0,36.824585,-106.5674915
21268,0,32.3712082,-106.0844345
23168,0,34.5204029,-106.3308441
23739,0,36.7388841,-108.2510376
28702,1,35.2053671,-106.6065639
18278,0,36.0318871,-107.9049683
21660,0,33.8000641,-106.8672485
23170,0,36.74081,-108.1880379
23256,0,32.8423309,-104.4032974
23829,0,35.5225354,-105.9801786
19811,0,36.9317812,-106.9999695
22174,0,32.4206715,-104.2288399
23272,0,32.5951138,-104.3471794
24309,0,36.7504387,-108.1871796
18276,0,35.2170146,-103.3319092
22173,0,35.3120435,-106.4255905
23137,0,34.1656598,-106.0253796
24379,0,35.0844898,-106.6511345
26447,0,35.2999959,-106.7706299
86666,0,35.3022614,-77.1593613
KU18,1,48.601996,-102.439834
OCGR12152,0,36.907757,-102.515745
OCGR8815,0,35.189053,-97.343899
159789,0,42.99385,-81.23864
159674,0,45.231144,-81.6804
29185,0,45.484251,-118.832645
29186,0,44.050689,-121.305725
74120,1,43.2320592,-118.8452131
205182,1,33.203025,-96.653183
21020,0,30.153342,-103.234833
29148,0,27.237948,-97.804256
87158,1,48.0450376,-120.4032898
86276,1,47.504196,-117.691136
438294,0,45.6354517,-91.7675114
42773,0,41.1596584,-104.0674781
44504,0,41.361988,-106.561354
42797,0,44.765416,-106.910752
47604,0,41.31139,-105.59056